,bankruptcy,bad,app_id,tot_derog,tot_tr,age_oldest_tr,tot_open_tr,tot_rev_tr,tot_rev_debt,tot_rev_line,rev_util,bureau_score,purch_price,msrp,down_pyt,purpose,loan_term,loan_amt,ltv,tot_income,used_ind,weight
0,0.0,0.0,1001.0,6.0,7.0,46.0,,,,,0.0,747.0,19678.0,17160.0,947.15,b'LEASE',36.0,18730.850000000002,109.0,4800.0,0.0,4.75
1,0.0,0.0,1002.0,0.0,21.0,153.0,6.0,1.0,97.0,4637.0,2.0,744.0,28615.0,27950.0,1500.0,b'LEASE',60.0,27112.96,97.0,5833.33,0.0,4.75
2,0.0,0.0,1003.0,0.0,29.0,194.0,4.0,2.0,4798.0,22791.0,21.0,667.0,25750.71,24477.0,10.700000000000001,b'LEASE',48.0,25740.010000000002,105.0,2308.33,0.0,4.75
3,0.0,1.0,1005.0,2.0,20.0,129.0,8.0,6.0,5807.0,15763.0,37.0,648.0,15314.0,18450.0,1015.1800000000001,b'LEASE',63.0,14298.82,78.0,4083.33,1.0,1.0
4,1.0,0.0,1006.0,2.0,10.0,108.0,6.0,4.0,3352.0,4079.0,82.0,649.0,21197.61,22238.0,0.0,b'LEASE',60.0,22167.510000000002,100.0,5783.33,0.0,4.75
5,0.0,0.0,1008.0,0.0,22.0,182.0,5.0,2.0,735.0,13669.0,5.0,765.0,14382.0,13500.0,3800.0,b'LOAN',60.0,12060.1,89.0,6666.67,1.0,4.75
6,0.0,0.0,1010.0,2.0,15.0,82.0,6.0,2.0,3335.0,11900.0,28.0,700.0,19819.0,19500.0,916.0,b'LOAN',66.0,20092.99,103.0,5484.0,1.0,4.75
7,0.0,0.0,1012.0,0.0,21.0,130.0,7.0,4.0,12713.0,26460.0,48.0,689.0,32000.0,26878.0,1500.0,b'LEASE',60.0,29491.25,113.0,5000.0,0.0,4.75
8,0.0,1.0,1014.0,1.0,21.0,88.0,6.0,3.0,3342.0,13559.0,25.0,716.0,27640.0,23777.0,0.0,b'LEASE',60.0,29195.0,123.0,15000.0,0.0,1.0
9,0.0,0.0,1015.0,0.0,42.0,290.0,8.0,5.0,9041.0,118557.0,8.0,754.0,34959.0,33601.0,2250.0,b'LEASE',48.0,33579.6,100.0,8333.33,0.0,4.75
10,0.0,0.0,1016.0,1.0,17.0,186.0,5.0,4.0,754.0,33535.0,2.0,753.0,34900.0,28073.0,0.0,b'LEASE',48.0,34730.35,124.0,5518.33,0.0,4.75
11,0.0,0.0,1017.0,2.0,9.0,63.0,3.0,1.0,383.0,383.0,100.0,640.0,17873.89,17100.0,2800.0,b'LOAN',66.0,15208.89,89.0,2800.0,1.0,4.75
12,0.0,1.0,1018.0,5.0,16.0,133.0,,,9998.0,0.0,0.0,639.0,9500.0,9500.0,0.0,b'LOAN',60.0,11151.630000000001,117.0,1087.0,1.0,1.0
13,0.0,0.0,1019.0,0.0,35.0,100.0,6.0,3.0,9848.0,41690.0,24.0,724.0,34853.0,28150.0,0.0,b'LEASE',60.0,37818.03,134.0,3200.0,1.0,4.75
14,0.0,0.0,1020.0,0.0,9.0,159.0,2.0,0.0,0.0,2364.0,0.0,799.0,17592.0,18150.0,5000.0,b'LOAN',66.0,14187.48,78.0,10000.0,1.0,4.75
15,0.0,0.0,1021.0,0.0,17.0,423.0,,1.0,2546.0,22500.0,11.0,766.0,29800.0,32213.0,12800.0,b'LOAN',36.0,17298.49,54.0,5833.33,0.0,4.75
16,0.0,0.0,1022.0,,,,,,,,0.0,,7680.84,9675.0,2700.0,b'LOAN',42.0,6194.49,64.0,1100.0,1.0,4.75
